id,category,name_ko,name_th,url,desc_th,desc_en,tags
emb_th,embassy,주한 태국 대사관,สถานเอกอัครราชทูต ณ กรุงโซล,https://seoul.thaiembassy.org,ทำหนังสือเดินทาง วีซ่า และบริการกงสุลสำหรับคนไทย,"Passport, visa & consular services for Thai nationals","대사관,여권,비자,영사,태국"
gov_hikorea,admin,하이코리아 (HiKorea),ฮายโคเรีย (ตรวจคนเข้าเมือง),https://www.hikorea.go.kr,ต่อวีซ่า ลงทะเบียนคนต่างชาติ ยื่นเรื่อง ตม. ออนไลน์,"Visa extension, alien registration & immigration e-services","출입국,비자연장,외국인등록,체류"
gov_socinet,admin,사회통합정보망 (소시넷/KIIP),โซซีเน็ต (โครงการบูรณาการสังคม KIIP),https://www.socinet.go.kr,สมัครโครงการ KIIP เรียนภาษา/สังคมเกาหลี (เชื่อมวีซ่า·ถิ่นที่อยู่),Apply for KIIP social integration program (linked to visa/residency),"사회통합,KIIP,교육,비자,영주"
gov_visa,admin,대한민국 비자포털,พอร์ทัลวีซ่าเกาหลี,https://www.visa.go.kr,ยื่นวีซ่าและตรวจสอบสถานะการพิจารณาออนไลน์,Apply for visa & check application status online,"비자,사증,신청,발급"
gov_1345,admin,외국인종합안내센터 1345,สายด่วนช่วยเหลือคนต่างชาติ 1345,tel:1345,สายด่วนปรึกษา ตม./การใช้ชีวิต รองรับ 20 ภาษา (กด 1345),"Foreigner help line, 20 languages (dial 1345)","상담,다국어,출입국,전화"
gov_gov24,admin,정부24 (Government24),รัฐบาล 24 (Government24),https://www.gov.kr,ออกเอกสารราชการและบริการภาครัฐออนไลน์,Government documents & civil services online,"행정,서류,민원,정부"
rem_hanpass,remittance,한패스 (Hanpass),ฮันพาส (Hanpass),https://www.hanpass.com,โอนเงินกลับไทย ค่าธรรมเนียมถูก สำหรับคนต่างชาติ,"Send money to Thailand, low fees","송금,해외송금,전자지갑"
rem_gme,remittance,GME 송금,GME (โอนเงินต่างประเทศ),https://www.gmeremit.com,บริการโอนเงินระหว่างประเทศสำหรับคนต่างชาติ,International money transfer for foreigners,"송금,해외송금"
rem_sentbe,remittance,센트비 (Sentbe),เซนต์บี (Sentbe),https://www.sentbe.com,โอนเงินต่างประเทศ ค่าธรรมเนียมประหยัด,Overseas remittance with low fees,"송금,해외송금,수수료"
rem_wirebarley,remittance,와이어바알리 (WireBarley),ไวร์บาร์ลีย์ (WireBarley),https://www.wirebarley.com,โอนเงินไปได้หลายประเทศ,Multi-country money transfer,"송금,해외송금"
tel_egsim,telecom,EG SIM CARD,EG SIM CARD (ซิมเติมเงิน),https://www.egsimcard.com,ซิมเติมเงิน เปิดใช้ด้วยหนังสือเดินทาง,"Prepaid SIM, activate with passport","선불,유심,통신"
tel_freet,telecom,프리티 (Freet),ฟรีที (Freet · ซิมประหยัด),https://www.freet.co.kr,ซิมราคาประหยัด เปิดในชื่อตัวเองด้วยบัตรต่างชาติ,"Budget SIM, self-registration with ARC","알뜰폰,본인개통,통신"
tel_chingu,telecom,찡구모바일 (Chingu Mobile),ชิงกูโมบายล์ (Chingu Mobile),https://www.chingumobile.com,ซิมราคาประหยัดรองรับหลายภาษา (เปิดชื่อตัวเอง),Multilingual budget SIM (self-registration),"알뜰폰,본인개통,다국어,통신"
hos_egen,hospital,응급의료포털 E-Gen,พอร์ทัลการแพทย์ฉุกเฉิน E-Gen,https://www.e-gen.or.kr,ค้นหาโรงพยาบาล ร้านยา ห้องฉุกเฉินใกล้ตัว (ฉุกเฉิน 119),"Find nearby hospitals, pharmacies & ER (emergency 119)","병원,응급,약국,의료"
hos_1339,hospital,질병·의료상담 1339,สายด่วนปรึกษาสุขภาพ 1339,tel:1339,สายด่วนปรึกษาสุขภาพ/โรคติดต่อ (กด 1339),Health & disease consultation line (dial 1339),"의료상담,감염병,전화"
hos_nhis,hospital,국민건강보험공단,ประกันสุขภาพแห่งชาติ (NHIS),https://www.nhis.or.kr,ข้อมูลประกันสุขภาพแห่งชาติ สมัคร/สิทธิ/เบี้ยประกัน,National health insurance info & enrollment,"건강보험,의료,보험"
sup_danuri,support,다누리콜센터 1577-1366,ศูนย์ดานูรี 1577-1366,tel:1577-1366,สายด่วนช่วยเหลือหญิงต่างชาติ/ครอบครัวพหุวัฒนธรรม 24 ชม.,24h helpline for migrant women & multicultural families,"이주여성,긴급지원,상담,다국어"
sup_global_seoul,support,서울글로벌센터,ศูนย์โซลโกลบอล (Seoul Global Center),https://global.seoul.go.kr,ปรึกษาการใช้ชีวิต กฎหมาย งาน ฟรี พร้อมล่าม,Free life/legal/job consultation with interpreter,"상담,법률,취업,통역"
