id,category,name_ko,name_th,url,desc_th,desc_en,tags,region,district
gov_socinet,visa,사회통합정보망 (소시넷/KIIP),โซซีเน็ต (โครงการบูรณาการสังคม KIIP),https://www.socinet.go.kr,สมัครโครงการ KIIP (โครงการบูรณาการสังคม) เรียนภาษาและวัฒนธรรมเกาหลีเพื่อต่อวีซ่าและถิ่นที่อยู่,Apply for KIIP social integration program (linked to visa/residency),"사회통합,KIIP,교육,비자,영주,공부,한국어,배움",national,
gov_hikorea,visa,하이코리아 (HiKorea),ฮายโคเรีย (ตรวจคนเข้าเมือง),https://www.hikorea.go.kr,ต่อวีซ่า ลงทะเบียนคนต่างชาติ ยื่นเรื่อง ตม. ออนไลน์,Visa extension, alien registration & immigration e-services,"출입국,비자연장,외국인등록,체류,신고",national,
gov_visa,visa,대한민국 비자포털,พอร์ทัลวีซ่าเกาหลี,https://www.visa.go.kr,ยื่นวีซ่าและตรวจสอบสถานะการพิจารณาออนไลน์,Apply for visa & check application status online,"비자,사증,신청,발급,조회",national,
sup_danuri,admin,다누리콜센터 1577-1366,ศูนย์ดานูรี 1577-1366,tel:1577-1366,สายด่วนช่วยเหลือหญิงต่างชาติ/ครอบครัวพหุวัฒนธรรม 24 ชม.,24h helpline for migrant women & multicultural families,"이주여성,긴급지원,상담,다국어,전화,가족,공부",national,
gov_1345,admin,외국인종합안내센터 1345,สายด่วนช่วยเหลือคนต่างชาติ 1345,tel:1345,สายด่วนปรึกษา ตม./การใช้ชีวิต รองรับ 20 ภาษา (กด 1345),"Foreigner help line, 20 languages (dial 1345)","상담,다국어,출입국,전화,생활",national,
emb_th,admin,주한 태국 대사관,สถานเอกอัครราชทูต ณ กรุงโซล,https://seoul.thaiembassy.org,ทำหนังสือเดินทาง วีซ่า และบริการกงสุลสำหรับคนไทย,Passport, visa & consular services for Thai nationals,"대사관,여권,비자,영사,태국",national,
adm_bbb_korea,admin,BBB 코리아 (무료 통역),บีบีบี โคเรีย (ล่ามอาสาสมัครฟรี),http://www.bbbkorea.org,บริการล่ามแปลภาษาทางโทรศัพท์ฟรี 20 ภาษา ตลอด 24 ชม.,Free 24/7 telephone interpretation in 20 languages,"통역,번역,ล่าม,공공,무료,전화",national,
adm_kto_travel,admin,관광안내 1330,สายด่วนบริการข้อมูลท่องเที่ยว 1330,tel:1330,สายด่วนข้อมูลท่องเที่ยวและการช่วยเหลือฉุกเฉิน 24 ชม. (มีภาษาไทย),Korea travel & interpretation helpline (dial 1330),"관광,여행,안내,통역,전화",national,
sup_global_seoul,admin,서울글로벌센터,ศูนย์โซลโกลบอล (Seoul Global Center),https://global.seoul.go.kr,ปรึกษาการใช้ชีวิต กฎหมาย งาน ฟรี พร้อมล่าม,Free life/legal/job consultation with interpreter,"상담,법률,취업,통역,생활",national,
adm_sejong_academy,admin,온라인 세종학당,สถาบัน세จงออนไลน์ (เรียนภาษาฟรี),https://www.sejonghakdang.org,หลักเรียนภาษาและวัฒนธรรมเกาหลีออนไลน์ฟรีของรัฐบาล,Government-run free online Korean language courses,"세종학당,한국어,인터넷,공부,배움,무료",national,
adm_nts_call,admin,국세청 외국인 상담 (1588-0560),สายด่วนภาษีคนต่างชาติ 1588-0560,tel:1588-0560,สายด่วนให้คำปรึกษาด้านภาษีและยื่นภาษีปลายปีสำหรับต่างชาติ,National Tax Service foreigner helpline (dial 1588-0560),"세금,연말정산,상담,국세청",national,
adm_court_interpreter,admin,경찰·법원 국선 통역인 안내,ข้อมูลล่ามแปลสำหรับศาลและตำรวจ (ฟรี),https://www.scourt.go.kr,การจัดหาล่ามแปลในกระบวนการยุติธรรมสำหรับคนต่างชาติฟรี,Free judicial interpretation service in legal proceedings,"법률,재판,경찰,통역,무료",national,
gov_gov24,admin,정부24 (Government24),รัฐบาล 24 (Government24),https://www.gov.kr,ออกเอกสารราชการและบริการภาครัฐออนไลน์,Government documents & civil services online,"행정,서류,민원,정부",national,
hos_egen,medical,응급의료포털 E-Gen,พอร์ทัลการแพทย์ฉุกเฉิน E-Gen,https://www.e-gen.or.kr,ค้นหาโรงพยาบาล ร้านยา ห้องฉุกเฉินใกล้ตัว (ฉุกเฉิน 119),"Find nearby hospitals, pharmacies & ER (emergency 119)","병원,응급,약국,의료,감기,배탈,아플때",national,
hos_1339,medical,질병·의료상담 1339,สายด่วนปรึกษาสุขภาพ 1339,tel:1339,สายด่วนปรึกษาสุขภาพ/โรคติดต่อ (กด 1339),Health & disease consultation line (dial 1339),"의료상담,감염병,전화,감기,아플때",national,
hos_medical_support,medical,외국인노동자의료공제회 (위프렌즈),สมาคมช่วยเหลือทางการแพทย์แรงงานต่างชาติ (WeFriends),https://www.wefriends.org,ช่วยเหลือค่ารักษาพยาบาลสำหรับแรงงานต่างชาติที่ไม่มีประกันสุขภาพ,Medical fee support for uninsured foreign workers,"의료,지원,공제회,미등록,아플때",national,
hos_nhis,labor,국민건강보험공단,ประกันสุขภาพแห่งชาติ (NHIS),https://www.nhis.or.kr,정보보험안내 및 건강보험 신청/보험료 조회,National health insurance info & enrollment,"건강보험,의료,보험,자격",national,
